"Title","UK Whole Economy: Output per hour worked SA: Index 2022 = 100"
"CDID","LZVB"
"Source dataset ID","PRDY"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-08-2025"
"Next release","13 November 2025"
"Important notes",
"2020 Q4","97.6"
"2021 Q1","98.7"
"2021 Q2","100.1"
"2021 Q3","99.0"
"2021 Q4","100.0"
"2022 Q1","100.2"
"2022 Q2","99.9"
"2022 Q3","100.0"
"2022 Q4","99.9"
"2023 Q1","99.4"
"2023 Q2","99.6"
"2023 Q3","100.1"
"2023 Q4","99.2"
"2024 Q1","99.2"
"2024 Q2","99.2"
"2024 Q3","98.0"
"2024 Q4","98.7"
"2025 Q1","99.0"
