,DATE,INDUSTRY_CODE,EMPLOYMENT,SIC_2digit,SIC_3digit,SIC_4digit,SIC_5digit,IS8_Final_Flag,Frontier_Final_Flag
136,2015,18121,3000,18,181,1812,18121,,
137,2015,18129,93000,18,181,1812,18129,,
138,2015,18130,9000,18,181,1813,18130,,
139,2015,18140,4500,18,181,1814,18140,,
140,2015,18201,1250,18,182,1820,18201,,
141,2015,18202,700,18,182,1820,18202,,
142,2015,18203,350,18,182,1820,18203,,
143,2015,19100,10,19,191,1910,19100,,
144,2015,19201,6000,19,192,1920,19201,,
145,2015,19209,2250,19,192,1920,19209,,
146,2015,20110,3500,20,201,2011,20110,Advanced manufacturing,
147,2015,20120,3000,20,201,2012,20120,Advanced manufacturing,
148,2015,20130,4500,20,201,2013,20130,Advanced manufacturing,
149,2015,20140,9000,20,201,2014,20140,Advanced manufacturing,
150,2015,20150,2000,20,201,2015,20150,Advanced manufacturing,
151,2015,20160,9000,20,201,2016,20160,Advanced manufacturing,
152,2015,20170,150,20,201,2017,20170,Advanced manufacturing,
153,2015,20200,2500,20,202,2020,20200,Advanced manufacturing,
154,2015,20301,11000,20,203,2030,20301,Advanced manufacturing,
155,2015,20302,2500,20,203,2030,20302,Advanced manufacturing,
156,2015,20411,6000,20,204,2041,20411,Advanced manufacturing,
157,2015,20412,5000,20,204,2041,20412,Advanced manufacturing,
158,2015,20420,14000,20,204,2042,20420,Advanced manufacturing,
159,2015,20510,900,20,205,2051,20510,Advanced manufacturing,
160,2015,20520,2500,20,205,2052,20520,Advanced manufacturing,
161,2015,20530,2250,20,205,2053,20530,Advanced manufacturing,
162,2015,20590,13000,20,205,2059,20590,Advanced manufacturing,
163,2015,20600,450,20,206,2060,20600,Advanced manufacturing,
164,2015,21100,6000,21,211,2110,21100,Life Sciences,
165,2015,21200,29000,21,212,2120,21200,Life Sciences,
166,2015,22110,5000,22,221,2211,22110,,
167,2015,22190,15000,22,221,2219,22190,,
168,2015,22210,26000,22,222,2221,22210,,
169,2015,22220,22000,22,222,2222,22220,,
170,2015,22230,41000,22,222,2223,22230,,
171,2015,22290,49000,22,222,2229,22290,,
172,2015,23110,900,23,231,2311,23110,,
173,2015,23120,10000,23,231,2312,23120,,
174,2015,23130,4500,23,231,2313,23130,,
175,2015,23140,2500,23,231,2314,23140,,
176,2015,23190,2250,23,231,2319,23190,,
177,2015,23200,2250,23,232,2320,23200,,
178,2015,23310,1250,23,233,2331,23310,,
179,2015,23320,4500,23,233,2332,23320,,
180,2015,23410,6000,23,234,2341,23410,,
181,2015,23420,500,23,234,2342,23420,,
182,2015,23430,300,23,234,2343,23430,,
183,2015,23440,600,23,234,2344,23440,,
184,2015,23490,500,23,234,2349,23490,,
185,2015,23510,1750,23,235,2351,23510,,
186,2015,23520,600,23,235,2352,23520,,
187,2015,23610,14000,23,236,2361,23610,,
188,2015,23620,1750,23,236,2362,23620,,
189,2015,23630,6000,23,236,2363,23630,,
190,2015,23640,450,23,236,2364,23640,,
191,2015,23650,350,23,236,2365,23650,,
192,2015,23690,1000,23,236,2369,23690,,
193,2015,23700,7000,23,237,2370,23700,,
194,2015,23910,1500,23,239,2391,23910,,
195,2015,23990,6000,23,239,2399,23990,,
196,2015,24100,22000,24,241,2410,24100,,
197,2015,24200,7000,24,242,2420,24200,,
198,2015,24310,450,24,243,2431,24310,,
199,2015,24320,100,24,243,2432,24320,,
200,2015,24330,1750,24,243,2433,24330,,
201,2015,24340,600,24,243,2434,24340,,
202,2015,24410,600,24,244,2441,24410,,
203,2015,24420,3500,24,244,2442,24420,,
204,2015,24430,900,24,244,2443,24430,,
205,2015,24440,1750,24,244,2444,24440,,
206,2015,24450,3500,24,244,2445,24450,,
207,2015,24460,12000,24,244,2446,24460,,
208,2015,24510,4000,24,245,2451,24510,,
209,2015,24520,2250,24,245,2452,24520,,
210,2015,24530,5000,24,245,2453,24530,,
211,2015,24540,1750,24,245,2454,24540,,
212,2015,25110,52000,25,251,2511,25110,,
213,2015,25120,18000,25,251,2512,25120,,
214,2015,25210,5000,25,252,2521,25210,,
215,2015,25290,4500,25,252,2529,25290,,
216,2015,25300,2000,25,253,2530,25300,,
217,2015,25400,13000,25,254,2540,25400,Defence sector,
218,2015,25500,20000,25,255,2550,25500,,
219,2015,25610,23000,25,256,2561,25610,,
220,2015,25620,105000,25,256,2562,25620,,
221,2015,25710,400,25,257,2571,25710,,
222,2015,25720,7000,25,257,2572,25720,,
223,2015,25730,15000,25,257,2573,25730,,
224,2015,25910,1000,25,259,2591,25910,,
225,2015,25920,5000,25,259,2592,25920,,
226,2015,25930,8000,25,259,2593,25930,,
227,2015,25940,6000,25,259,2594,25940,,
228,2015,25990,31000,25,259,2599,25990,,
229,2015,26110,13000,26,261,2611,26110,Digital and Technology,
230,2015,26120,9000,26,261,2612,26120,Digital and Technology,
231,2015,26200,7000,26,262,2620,26200,Digital and Technology,
232,2015,26301,9000,26,263,2630,26301,Digital and Technology,
233,2015,26309,4500,26,263,2630,26309,Digital and Technology,
234,2015,26400,4500,26,264,2640,26400,Digital and Technology,
235,2015,26511,39000,26,265,2651,26511,Digital and Technology,
236,2015,26512,4500,26,265,2651,26512,Digital and Technology,
237,2015,26513,3500,26,265,2651,26513,Digital and Technology,
238,2015,26514,1250,26,265,2651,26514,Advanced manufacturing,
239,2015,26520,400,26,265,2652,26520,Advanced manufacturing,
240,2015,26600,4500,26,266,2660,26600,Life Sciences,
241,2015,26701,3000,26,267,2670,26701,Digital and Technology,
242,2015,26702,1250,26,267,2670,26702,Advanced manufacturing,
243,2015,26800,100,26,268,2680,26800,Digital and Technology,
244,2015,27110,14000,27,271,2711,27110,Advanced manufacturing,
245,2015,27120,18000,27,271,2712,27120,Advanced manufacturing,
246,2015,27200,2000,27,272,2720,27200,Advanced manufacturing,Batteries
247,2015,27310,1500,27,273,2731,27310,Digital and Technology,
248,2015,27320,11000,27,273,2732,27320,Digital and Technology,
249,2015,27330,3500,27,273,2733,27330,Advanced manufacturing,
250,2015,27400,14000,27,274,2740,27400,Advanced manufacturing,
251,2015,27510,9000,27,275,2751,27510,Advanced manufacturing,
252,2015,27520,4000,27,275,2752,27520,Advanced manufacturing,
253,2015,27900,11000,27,279,2790,27900,Digital and Technology,
254,2015,28110,18000,28,281,2811,28110,Advanced manufacturing,
255,2015,28120,7000,28,281,2812,28120,Advanced manufacturing,
256,2015,28131,10000,28,281,2813,28131,Advanced manufacturing,
257,2015,28132,3000,28,281,2813,28132,Advanced manufacturing,
258,2015,28140,9000,28,281,2814,28140,Advanced manufacturing,
259,2015,28150,8000,28,281,2815,28150,Advanced manufacturing,
260,2015,28210,2250,28,282,2821,28210,Advanced manufacturing,
261,2015,28220,18000,28,282,2822,28220,Advanced manufacturing,
262,2015,28230,4000,28,282,2823,28230,Advanced manufacturing,
263,2015,28240,600,28,282,2824,28240,Advanced manufacturing,
264,2015,28250,20000,28,282,2825,28250,Advanced manufacturing,
265,2015,28290,24000,28,282,2829,28290,Advanced manufacturing,
266,2015,28301,800,28,283,2830,28301,Advanced manufacturing,Agritech
267,2015,28302,6000,28,283,2830,28302,Advanced manufacturing,Agritech
268,2015,28410,6000,28,284,2841,28410,Advanced manufacturing,
269,2015,28490,4500,28,284,2849,28490,Advanced manufacturing,
270,2015,28910,500,28,289,2891,28910,Advanced manufacturing,
271,2015,28921,5000,28,289,2892,28921,Advanced manufacturing,
272,2015,28922,6000,28,289,2892,28922,Advanced manufacturing,
273,2015,28923,3000,28,289,2892,28923,Advanced manufacturing,
274,2015,28930,6000,28,289,2893,28930,Advanced manufacturing,
275,2015,28940,1500,28,289,2894,28940,Advanced manufacturing,
276,2015,28950,900,28,289,2895,28950,Advanced manufacturing,
277,2015,28960,3000,28,289,2896,28960,Advanced manufacturing,
278,2015,28990,9000,28,289,2899,28990,Advanced manufacturing,
279,2015,29100,79000,29,291,2910,29100,Advanced manufacturing,Automotive manufacturing
280,2015,29201,8000,29,292,2920,29201,Advanced manufacturing,Automotive manufacturing
281,2015,29202,6000,29,292,2920,29202,Advanced manufacturing,Automotive manufacturing
282,2015,29203,3500,29,292,2920,29203,Advanced manufacturing,Automotive manufacturing
283,2015,29310,3000,29,293,2931,29310,Advanced manufacturing,Automotive manufacturing
284,2015,29320,57000,29,293,2932,29320,Advanced manufacturing,Automotive manufacturing
285,2015,30110,23000,30,301,3011,30110,Advanced manufacturing,
286,2015,30120,9000,30,301,3012,30120,Advanced manufacturing,
287,2015,30200,3500,30,302,3020,30200,Advanced manufacturing,
288,2015,30300,85000,30,303,3030,30300,Advanced manufacturing,Aerospace manufacturing
289,2015,30400,4000,30,304,3040,30400,Defence sector,
290,2015,30910,1500,30,309,3091,30910,Advanced manufacturing,
291,2015,30920,2000,30,309,3092,30920,Advanced manufacturing,
292,2015,30990,1000,30,309,3099,30990,Advanced manufacturing,
293,2015,31010,19000,31,310,3101,31010,,
294,2015,31020,16000,31,310,3102,31020,,
295,2015,31030,6000,31,310,3103,31030,,
296,2015,31090,39000,31,310,3109,31090,,
297,2015,32110,800,32,321,3211,32110,,
298,2015,32120,5000,32,321,3212,32120,Creative Industries,
299,2015,32130,700,32,321,3213,32130,,
300,2015,32200,1250,32,322,3220,32200,,
301,2015,32300,6000,32,323,3230,32300,,
302,2015,32401,1000,32,324,3240,32401,,
303,2015,32409,3500,32,324,3240,32409,,
304,2015,32500,40000,32,325,3250,32500,Life Sciences,
305,2015,32910,900,32,329,3291,32910,,
306,2015,32990,23000,32,329,3299,32990,,
307,2015,33110,6000,33,331,3311,33110,,
308,2015,33120,34000,33,331,3312,33120,,
309,2015,33130,4500,33,331,3313,33130,,
310,2015,33140,6000,33,331,3314,33140,,
311,2015,33150,7000,33,331,3315,33150,,
312,2015,33160,17000,33,331,3316,33160,Advanced manufacturing,Aerospace manufacturing
313,2015,33170,13000,33,331,3317,33170,,
314,2015,33190,4500,33,331,3319,33190,,
315,2015,33200,20000,33,332,3320,33200,,
316,2015,35110,27000,35,351,3511,35110,,
317,2015,35120,3000,35,351,3512,35120,,
318,2015,35130,47000,35,351,3513,35130,,
319,2015,35140,3500,35,351,3514,35140,,
320,2015,35210,6000,35,352,3521,35210,,
321,2015,35220,10000,35,352,3522,35220,,
322,2015,35230,28000,35,352,3523,35230,,
323,2015,35300,900,35,353,3530,35300,,
324,2015,36000,34000,36,360,3600,36000,,
325,2015,37000,24000,37,370,3700,37000,,
326,2015,38110,59000,38,381,3811,38110,,
327,2015,38120,1000,38,381,3812,38120,,
328,2015,38210,28000,38,382,3821,38210,,
329,2015,38220,7000,38,382,3822,38220,,
330,2015,38310,300,38,383,3831,38310,,
331,2015,38320,28000,38,383,3832,38320,,
332,2015,39000,6000,39,390,3900,39000,,
333,2015,41100,76000,41,411,4110,41100,,
334,2015,41201,85000,41,412,4120,41201,,
335,2015,41202,261000,41,412,4120,41202,,
336,2015,42110,48000,42,421,4211,42110,,
337,2015,42120,8000,42,421,4212,42120,,
338,2015,42130,1250,42,421,4213,42130,,
339,2015,42210,6000,42,422,4221,42210,,
340,2015,42220,10000,42,422,4222,42220,,
341,2015,42910,1750,42,429,4291,42910,,
342,2015,42990,113000,42,429,4299,42990,,
343,2015,43110,7000,43,431,4311,43110,,
344,2015,43120,16000,43,431,4312,43120,,
345,2015,43130,1750,43,431,4313,43130,,
346,2015,43210,205000,43,432,4321,43210,,
347,2015,43220,140000,43,432,4322,43220,,
348,2015,43290,38000,43,432,4329,43290,,
349,2015,43310,13000,43,433,4331,43310,,
350,2015,43320,75000,43,433,4332,43320,,
351,2015,43330,22000,43,433,4333,43330,,
352,2015,43341,45000,43,433,4334,43341,,
353,2015,43342,10000,43,433,4334,43342,,
354,2015,43390,57000,43,433,4339,43390,,
355,2015,43910,33000,43,439,4391,43910,,
356,2015,43991,37000,43,439,4399,43991,,
357,2015,43999,85000,43,439,4399,43999,,
358,2015,45111,139000,45,451,4511,45111,,
359,2015,45112,38000,45,451,4511,45112,,
360,2015,45190,12000,45,451,4519,45190,,
361,2015,45200,246000,45,452,4520,45200,,
362,2015,45310,68000,45,453,4531,45310,,
363,2015,45320,37000,45,453,4532,45320,,
364,2015,45400,10000,45,454,4540,45400,,
365,2015,46110,3500,46,461,4611,46110,,
366,2015,46120,4000,46,461,4612,46120,,
367,2015,46130,6000,46,461,4613,46130,,
368,2015,46140,8000,46,461,4614,46140,,
369,2015,46150,2500,46,461,4615,46150,,
370,2015,46160,5000,46,461,4616,46160,,
371,2015,46170,4500,46,461,4617,46170,,
372,2015,46180,14000,46,461,4618,46180,,
373,2015,46190,3500,46,461,4619,46190,,
374,2015,46210,11000,46,462,4621,46210,,
375,2015,46220,8000,46,462,4622,46220,,
376,2015,46230,1500,46,462,4623,46230,,
377,2015,46240,900,46,462,4624,46240,,
378,2015,46310,31000,46,463,4631,46310,,
379,2015,46320,24000,46,463,4632,46320,,
380,2015,46330,12000,46,463,4633,46330,,
381,2015,46341,6000,46,463,4634,46341,,
382,2015,46342,23000,46,463,4634,46342,,
383,2015,46350,1250,46,463,4635,46350,,
384,2015,46360,8000,46,463,4636,46360,,
385,2015,46370,3000,46,463,4637,46370,,
386,2015,46380,17000,46,463,4638,46380,,
387,2015,46390,82000,46,463,4639,46390,,
388,2015,46410,14000,46,464,4641,46410,,
389,2015,46420,39000,46,464,4642,46420,,
390,2015,46431,3000,46,464,4643,46431,,
391,2015,46439,27000,46,464,4643,46439,,
392,2015,46440,5000,46,464,4644,46440,,
393,2015,46450,31000,46,464,4645,46450,,
394,2015,46460,63000,46,464,4646,46460,,
395,2015,46470,20000,46,464,4647,46470,,
396,2015,46480,7000,46,464,4648,46480,,
397,2015,46491,1000,46,464,4649,46491,,
398,2015,46499,63000,46,464,4649,46499,,
399,2015,46510,38000,46,465,4651,46510,Digital and Technology,
400,2015,46520,36000,46,465,4652,46520,Digital and Technology,
401,2015,46610,19000,46,466,4661,46610,,
402,2015,46620,9000,46,466,4662,46620,,
403,2015,46630,8000,46,466,4663,46630,,
404,2015,46640,900,46,466,4664,46640,,
405,2015,46650,3500,46,466,4665,46650,,
406,2015,46660,21000,46,466,4666,46660,,
407,2015,46690,114000,46,466,4669,46690,,
408,2015,46711,12000,46,467,4671,46711,,
409,2015,46719,9000,46,467,4671,46719,,
410,2015,46720,31000,46,467,4672,46720,,
411,2015,46730,124000,46,467,4673,46730,,
412,2015,46740,57000,46,467,4674,46740,,
413,2015,46750,20000,46,467,4675,46750,,
414,2015,46760,20000,46,467,4676,46760,,
415,2015,46770,13000,46,467,4677,46770,,
416,2015,46900,77000,46,469,4690,46900,,
417,2015,47110,1034000,47,471,4711,47110,,
418,2015,47190,270000,47,471,4719,47190,,
419,2015,47210,16000,47,472,4721,47210,,
420,2015,47220,35000,47,472,4722,47220,,
421,2015,47230,3500,47,472,4723,47230,,
422,2015,47240,55000,47,472,4724,47240,,
423,2015,47250,19000,47,472,4725,47250,,
424,2015,47260,6000,47,472,4726,47260,,
425,2015,47290,29000,47,472,4729,47290,,
426,2015,47300,33000,47,473,4730,47300,,
427,2015,47410,16000,47,474,4741,47410,,
428,2015,47421,20000,47,474,4742,47421,,
429,2015,47429,500,47,474,4742,47429,,
430,2015,47430,3500,47,474,4743,47430,,
431,2015,47510,13000,47,475,4751,47510,,
432,2015,47520,87000,47,475,4752,47520,,
433,2015,47530,22000,47,475,4753,47530,,
434,2015,47540,38000,47,475,4754,47540,,
435,2015,47591,3000,47,475,4759,47591,,
436,2015,47599,98000,47,475,4759,47599,,
437,2015,47610,13000,47,476,4761,47610,,
438,2015,47620,36000,47,476,4762,47620,,
439,2015,47630,4000,47,476,4763,47630,,
440,2015,47640,69000,47,476,4764,47640,,
441,2015,47650,11000,47,476,4765,47650,,
442,2015,47710,347000,47,477,4771,47710,,
443,2015,47721,49000,47,477,4772,47721,,
444,2015,47722,6000,47,477,4772,47722,,
445,2015,47730,108000,47,477,4773,47730,,
446,2015,47741,2500,47,477,4774,47741,,
447,2015,47749,4500,47,477,4774,47749,,
448,2015,47750,33000,47,477,4775,47750,,
449,2015,47760,71000,47,477,4776,47760,,
450,2015,47770,42000,47,477,4777,47770,,
451,2015,47781,7000,47,477,4778,47781,,
452,2015,47782,58000,47,477,4778,47782,,
453,2015,47789,80000,47,477,4778,47789,,
454,2015,47791,6000,47,477,4779,47791,,
455,2015,47799,36000,47,477,4779,47799,,
456,2015,47810,4000,47,478,4781,47810,,
457,2015,47820,700,47,478,4782,47820,,
458,2015,47890,3500,47,478,4789,47890,,
459,2015,47910,114000,47,479,4791,47910,,
460,2015,47990,27000,47,479,4799,47990,,
461,2015,49100,49000,49,491,4910,49100,,
462,2015,49200,7000,49,492,4920,49200,,
463,2015,49311,19000,49,493,4931,49311,,
464,2015,49319,119000,49,493,4931,49319,,
465,2015,49320,42000,49,493,4932,49320,,
466,2015,49390,63000,49,493,4939,49390,,
467,2015,49410,228000,49,494,4941,49410,,
468,2015,49420,16000,49,494,4942,49420,,
469,2015,49500,800,49,495,4950,49500,,
470,2015,50100,8000,50,501,5010,50100,,
471,2015,50200,7000,50,502,5020,50200,,
472,2015,50300,2000,50,503,5030,50300,,
473,2015,50400,400,50,504,5040,50400,,
474,2015,51101,59000,51,511,5110,51101,,
475,2015,51102,14000,51,511,5110,51102,,
476,2015,51210,2500,51,512,5121,51210,,
477,2015,51220,0,51,512,5122,51220,,
478,2015,52101,450,52,521,5210,52101,,
479,2015,52102,75,52,521,5210,52102,,
480,2015,52103,234000,52,521,5210,52103,,
481,2015,52211,150,52,522,5221,52211,,
482,2015,52212,2250,52,522,5221,52212,,
483,2015,52213,700,52,522,5221,52213,,
484,2015,52219,79000,52,522,5221,52219,,
485,2015,52220,24000,52,522,5222,52220,,
486,2015,52230,51000,52,522,5223,52230,,
487,2015,52241,2500,52,522,5224,52241,,
488,2015,52242,5000,52,522,5224,52242,,
489,2015,52243,700,52,522,5224,52243,,
490,2015,52290,74000,52,522,5229,52290,,
491,2015,53100,154000,53,531,5310,53100,,
492,2015,53201,6000,53,532,5320,53201,,
493,2015,53202,89000,53,532,5320,53202,,
494,2015,55100,362000,55,551,5510,55100,,
