"date","n","avg"
2017-07-12,2411,1733.85714285714
2017-07-13,2147,1711.42857142857
2017-07-14,2074,1656.14285714286
2017-07-15,1,1656.28571428571
2017-07-17,3002,1722.28571428571
2017-07-18,2651,1755.14285714286
2017-07-19,2434,1758.42857142857
2017-07-20,2148,1758.57142857143
2017-07-21,2307,1791.85714285714
2017-07-22,7,1792.71428571429
2017-07-24,2552,1728.42857142857
2017-07-25,2518,1709.42857142857
2017-07-26,2231,1680.42857142857
2017-07-27,2094,1672.71428571429
2017-07-28,2246,1664
2017-07-30,1,1663.14285714286
2017-07-31,2849,1705.57142857143
2017-08-01,2359,1682.85714285714
2017-08-02,2511,1722.85714285714
2017-08-03,2527,1784.71428571429
2017-08-04,2345,1798.85714285714
2017-08-07,2420,1737.42857142857
2017-08-08,2599,1771.71428571429
2017-08-09,2531,1774.57142857143
2017-08-10,2295,1741.42857142857
2017-08-11,2400,1749.28571428571
2017-08-14,2983,1829.71428571429
2017-08-15,2319,1789.71428571429
2017-08-16,2409,1772.28571428571
2017-08-17,2069,1740
2017-08-18,2402,1740.28571428571
2017-08-19,1,1740.42857142857
2017-08-21,2546,1678
2017-08-22,2466,1699
2017-08-23,2404,1698.28571428571
2017-08-24,2122,1705.85714285714
2017-08-25,2124,1666.14285714286
2017-08-28,3,1302.71428571429
2017-08-29,2682,1333.57142857143
2017-08-30,2708,1377
2017-08-31,2452,1424.14285714286
2017-09-01,2029,1410.57142857143
2017-09-02,35,1415.57142857143
2017-09-03,1,1415.71428571429
2017-09-04,2834,1820.14285714286
2017-09-05,2254,1759
2017-09-06,2347,1707.42857142857
2017-09-07,2334,1690.57142857143
2017-09-08,2884,1812.71428571429
2017-09-11,2877,1813.71428571429
2017-09-12,2438,1840
2017-09-13,2497,1861.42857142857
2017-09-14,2990,1955.14285714286
2017-09-15,2256,1865.42857142857
2017-09-17,1,1865.57142857143
2017-09-18,2748,1847.14285714286
2017-09-19,2623,1873.57142857143
2017-09-20,2454,1867.42857142857
2017-09-21,2272,1764.85714285714
2017-09-22,2315,1773.28571428571
2017-09-23,644,1865.28571428571
2017-09-24,1,1865.28571428571
2017-09-25,2492,1828.71428571429
2017-09-26,2313,1784.42857142857
2017-09-27,2567,1800.57142857143
2017-09-28,2129,1780.14285714286
2017-09-29,2391,1791
2017-09-30,158,1721.57142857143
2017-10-01,17,1723.85714285714
2017-10-02,2327,1700.28571428571
2017-10-03,3001,1798.57142857143
2017-10-04,2750,1824.71428571429
2017-10-05,2410,1864.85714285714
2017-10-06,2319,1854.57142857143
2017-10-08,1,1829.71428571429
2017-10-09,2612,1870.42857142857
2017-10-10,2866,1851.14285714286
2017-10-11,2483,1813
2017-10-12,2658,1848.42857142857
2017-10-13,2221,1834.42857142857
2017-10-15,2,1834.57142857143
2017-10-16,2500,1818.57142857143
2017-10-17,3096,1851.42857142857
2017-10-18,2552,1861.28571428571
2017-10-19,2329,1814.28571428571
2017-10-20,2419,1842.57142857143
2017-10-21,1,1842.71428571429
2017-10-23,2807,1886.28571428571
2017-10-24,2485,1799
2017-10-25,2702,1820.42857142857
2017-10-26,2369,1826.14285714286
2017-10-27,2191,1793.57142857143
2017-10-30,2491,1748.28571428571
2017-10-31,2346,1728.42857142857
2017-11-01,2422,1688.42857142857
2017-11-02,2243,1670.42857142857
2017-11-03,2372,1696.28571428571
2017-11-06,2949,1761.71428571429
2017-11-07,2601,1798.14285714286
2017-11-08,2576,1820.14285714286
2017-11-09,2499,1856.71428571429
2017-11-10,2215,1834.28571428571
2017-11-13,2595,1783.71428571429
2017-11-14,2691,1796.57142857143
2017-11-15,2476,1782.28571428571
2017-11-16,2130,1729.57142857143
2017-11-17,2456,1764
2017-11-20,2770,1789
2017-11-21,2680,1787.42857142857
2017-11-22,2370,1772.28571428571
2017-11-23,2897,1881.85714285714
2017-11-24,1947,1809.14285714286
2017-11-27,2370,1752
2017-11-28,2598,1740.28571428571
2017-11-29,2180,1713.14285714286
2017-11-30,2140,1605
2017-12-01,2147,1633.57142857143
2017-12-04,3071,1733.71428571429
2017-12-05,2532,1724.28571428571
2017-12-06,2622,1787.42857142857
2017-12-07,2269,1805.85714285714
2017-12-08,2008,1786
2017-12-09,24,1789.42857142857
2017-12-10,1,1789.57142857143
2017-12-11,2461,1702.42857142857
2017-12-12,2339,1674.85714285714
2017-12-13,2208,1615.71428571429
2017-12-14,2129,1595.71428571429
2017-12-15,1970,1590.28571428571
2017-12-17,1,1586.85714285714
2017-12-18,2285,1561.71428571429
2017-12-19,2153,1535.14285714286
2017-12-20,2108,1520.85714285714
2017-12-21,1690,1458.14285714286
2017-12-22,2300,1505.28571428571
2017-12-27,1630,802.857142857143
2017-12-28,1270,742.857142857143
2017-12-29,1034,562
2017-12-31,2,562.285714285714
2018-01-01,66,571.714285714286
2018-01-02,1988,855.714285714286
2018-01-03,2408,966.857142857143
2018-01-04,2079,1082.42857142857
2018-01-05,2150,1241.85714285714
2018-01-06,7,1242.85714285714
2018-01-07,1,1242.71428571429
2018-01-08,3097,1675.71428571429
2018-01-09,2594,1762.28571428571
2018-01-10,2586,1787.71428571429
2018-01-11,2510,1849.28571428571
2018-01-12,1971,1823.71428571429
2018-01-14,1,1822.71428571429
2018-01-15,3297,1851.28571428571
2018-01-16,2676,1863
2018-01-17,2760,1887.85714285714
2018-01-18,2134,1834.14285714286
2018-01-19,2520,1912.57142857143
2018-01-20,1,1912.71428571429
2018-01-22,3913,2000.57142857143
2018-01-23,2657,1997.85714285714
2018-01-24,2240,1923.57142857143
2018-01-25,2378,1958.42857142857
2018-01-26,2484,1953.28571428571
2018-01-29,3245,1857.71428571429
2018-01-30,2833,1882.85714285714
2018-01-31,2458,1914
2018-02-01,2391,1915.85714285714
2018-02-02,2225,1878.85714285714
