year,size,sector,site_count
2019,Micro (0 to 9),Hospitality,140240
2019,Micro (0 to 9),IT & Computer Services,169665
2019,Micro (0 to 9),Manufacturing,113790
2019,Micro (0 to 9),Other Information Services,49015
2019,Micro (0 to 9),Other Primary Industries,9820
2019,Micro (0 to 9),Other Services,180260
2019,Micro (0 to 9),Professional Services,455975
2019,Micro (0 to 9),Retail Trade,245475
2019,Micro (0 to 9),Social care,46555
2019,Micro (0 to 9),Transport & Logistics,109680
2019,Micro (0 to 9),Utilities,13575
2019,Micro (0 to 9),Wholesale Trade,173260
2019,Small (10 to 49),Agriculture,3915
2019,Small (10 to 49),Business Support Services,25715
2019,Small (10 to 49),Construction,19775
2019,Small (10 to 49),Hospitality,57950
2019,Small (10 to 49),IT & Computer Services,8215
2019,Small (10 to 49),Manufacturing,25585
2019,Small (10 to 49),Other Information Services,4580
2019,Small (10 to 49),Other Primary Industries,885
2019,Small (10 to 49),Other Services,21630
2019,Small (10 to 49),Professional Services,30575
2019,Small (10 to 49),Retail Trade,53750
2019,Small (10 to 49),Social care,33205
2019,Small (10 to 49),Transport & Logistics,13315
2019,Small (10 to 49),Utilities,3465
2019,Small (10 to 49),Wholesale Trade,32365
2019,Total,Agriculture,144970
2019,Total,Business Support Services,268865
2019,Total,Construction,353620
2019,Total,Hospitality,204275
2019,Total,IT & Computer Services,179950
2019,Total,Manufacturing,148535
2019,Total,Other Information Services,54985
2019,Total,Other Primary Industries,10915
2019,Total,Other Services,205960
2019,Total,Professional Services,492945
2019,Total,Retail Trade,306655
2019,Total,Social care,87705
2019,Total,Transport & Logistics,128240
2019,Total,Utilities,18295
2019,Total,Wholesale Trade,210955
2020,Large (250+),Agriculture,80
2020,Large (250+),Business Support Services,1550
2020,Large (250+),Construction,305
2020,Large (250+),Hospitality,275
2020,Large (250+),IT & Computer Services,295
2020,Large (250+),Manufacturing,1390
2020,Large (250+),Other Information Services,280
2020,Large (250+),Other Primary Industries,35
2020,Large (250+),Other Services,345
2020,Large (250+),Professional Services,1030
2020,Large (250+),Retail Trade,1120
2020,Large (250+),Social care,325
2020,Large (250+),Transport & Logistics,875
2020,Large (250+),Utilities,205
2020,Large (250+),Wholesale Trade,420
2020,Medium-sized (50 to 249),Agriculture,445
2020,Medium-sized (50 to 249),Business Support Services,6990
2020,Medium-sized (50 to 249),Construction,3045
2020,Medium-sized (50 to 249),Hospitality,6060
2020,Medium-sized (50 to 249),IT & Computer Services,1855
2020,Medium-sized (50 to 249),Manufacturing,7780
2020,Medium-sized (50 to 249),Other Information Services,1135
2020,Medium-sized (50 to 249),Other Primary Industries,165
2020,Medium-sized (50 to 249),Other Services,3605
2020,Medium-sized (50 to 249),Professional Services,5525
2020,Medium-sized (50 to 249),Retail Trade,6160
2020,Medium-sized (50 to 249),Social care,7710
2020,Medium-sized (50 to 249),Transport & Logistics,4445
2020,Medium-sized (50 to 249),Utilities,1080
2020,Medium-sized (50 to 249),Wholesale Trade,4945
2020,Micro (0 to 9),Agriculture,139630
2020,Micro (0 to 9),Business Support Services,240100
2020,Micro (0 to 9),Construction,338180
2020,Micro (0 to 9),Hospitality,146505
2020,Micro (0 to 9),IT & Computer Services,167945
2020,Micro (0 to 9),Manufacturing,114375
2020,Micro (0 to 9),Other Information Services,49685
2020,Micro (0 to 9),Other Primary Industries,9910
2020,Micro (0 to 9),Other Services,181835
2020,Micro (0 to 9),Professional Services,451760
2020,Micro (0 to 9),Retail Trade,246040
2020,Micro (0 to 9),Social care,47140
2020,Micro (0 to 9),Transport & Logistics,121345
2020,Micro (0 to 9),Utilities,13865
2020,Micro (0 to 9),Wholesale Trade,171570
2020,Small (10 to 49),Agriculture,3965
2020,Small (10 to 49),Business Support Services,25890
2020,Small (10 to 49),Construction,19995
2020,Small (10 to 49),Hospitality,58790
2020,Small (10 to 49),IT & Computer Services,8530
2020,Small (10 to 49),Manufacturing,25385
2020,Small (10 to 49),Other Information Services,4590
2020,Small (10 to 49),Other Primary Industries,890
2020,Small (10 to 49),Other Services,21665
2020,Small (10 to 49),Professional Services,30850
2020,Small (10 to 49),Retail Trade,53575
2020,Small (10 to 49),Social care,33610
2020,Small (10 to 49),Transport & Logistics,13345
2020,Small (10 to 49),Utilities,3485
2020,Small (10 to 49),Wholesale Trade,32155
2020,Total,Agriculture,144125
2020,Total,Business Support Services,274535
2020,Total,Construction,361520
2020,Total,Hospitality,211635
2020,Total,IT & Computer Services,178625
2020,Total,Manufacturing,148940
2020,Total,Other Information Services,55700
2020,Total,Other Primary Industries,11005
2020,Total,Other Services,207440
2020,Total,Professional Services,489175
2020,Total,Retail Trade,306895
2020,Total,Social care,88785
2020,Total,Transport & Logistics,140005
2020,Total,Utilities,18645
2020,Total,Wholesale Trade,209100
2021,Large (250+),Agriculture,80
2021,Large (250+),Business Support Services,1440
2021,Large (250+),Construction,290
2021,Large (250+),Hospitality,275
2021,Large (250+),IT & Computer Services,305
2021,Large (250+),Manufacturing,1360
2021,Large (250+),Other Information Services,280
2021,Large (250+),Other Primary Industries,35
2021,Large (250+),Other Services,315
2021,Large (250+),Professional Services,995
2021,Large (250+),Retail Trade,1110
2021,Large (250+),Social care,335
2021,Large (250+),Transport & Logistics,865
2021,Large (250+),Utilities,195
2021,Large (250+),Wholesale Trade,405
2021,Medium-sized (50 to 249),Agriculture,455
2021,Medium-sized (50 to 249),Business Support Services,6745
2021,Medium-sized (50 to 249),Construction,2940
2021,Medium-sized (50 to 249),Hospitality,5725
2021,Medium-sized (50 to 249),IT & Computer Services,1950
2021,Medium-sized (50 to 249),Manufacturing,7645
2021,Medium-sized (50 to 249),Other Information Services,1115
2021,Medium-sized (50 to 249),Other Primary Industries,165
2021,Medium-sized (50 to 249),Other Services,3450
2021,Medium-sized (50 to 249),Professional Services,5510
2021,Medium-sized (50 to 249),Retail Trade,5855
2021,Medium-sized (50 to 249),Social care,7765
2021,Medium-sized (50 to 249),Transport & Logistics,4420
2021,Medium-sized (50 to 249),Utilities,1070
2021,Medium-sized (50 to 249),Wholesale Trade,4730
2021,Micro (0 to 9),Agriculture,131495
2021,Micro (0 to 9),Business Support Services,238725
2021,Micro (0 to 9),Construction,346910
2021,Micro (0 to 9),Hospitality,152565
2021,Micro (0 to 9),IT & Computer Services,153625
2021,Micro (0 to 9),Manufacturing,116910
2021,Micro (0 to 9),Other Information Services,50680
2021,Micro (0 to 9),Other Primary Industries,9965
2021,Micro (0 to 9),Other Services,181555
2021,Micro (0 to 9),Professional Services,436780
2021,Micro (0 to 9),Retail Trade,256580
2021,Micro (0 to 9),Social care,47130
2021,Micro (0 to 9),Transport & Logistics,136485
2021,Micro (0 to 9),Utilities,14245
2021,Micro (0 to 9),Wholesale Trade,179220
2021,Small (10 to 49),Agriculture,4015
2021,Small (10 to 49),Business Support Services,25840
2021,Small (10 to 49),Construction,19965
2021,Small (10 to 49),Hospitality,56875
2021,Small (10 to 49),IT & Computer Services,8765
2021,Small (10 to 49),Manufacturing,25290
2021,Small (10 to 49),Other Information Services,4520
2021,Small (10 to 49),Other Primary Industries,920
2021,Small (10 to 49),Other Services,21105
2021,Small (10 to 49),Professional Services,30900
2021,Small (10 to 49),Retail Trade,52860
2021,Small (10 to 49),Social care,33335
2021,Small (10 to 49),Transport & Logistics,13180
2021,Small (10 to 49),Utilities,3515
2021,Small (10 to 49),Wholesale Trade,31520
2021,Total,Agriculture,136045
2021,Total,Business Support Services,272755
2021,Total,Construction,370105
2021,Total,Hospitality,215435
2021,Total,IT & Computer Services,164645
2021,Total,Manufacturing,151195
2021,Total,Other Information Services,56590
2021,Total,Other Primary Industries,11095
2021,Total,Other Services,206425
2021,Total,Professional Services,474185
2021,Total,Retail Trade,316400
2021,Total,Social care,88560
2021,Total,Transport & Logistics,154950
2021,Total,Utilities,19030
2021,Total,Wholesale Trade,215875
2022,Large (250+),Agriculture,85
2022,Large (250+),Business Support Services,1460
2022,Large (250+),Construction,250
2022,Large (250+),Hospitality,250
2022,Large (250+),IT & Computer Services,330
2022,Large (250+),Manufacturing,1330
2022,Large (250+),Other Information Services,275
2022,Large (250+),Other Primary Industries,35
2022,Large (250+),Other Services,315
2022,Large (250+),Professional Services,1035
2022,Large (250+),Retail Trade,1175
2022,Large (250+),Social care,360
2022,Large (250+),Transport & Logistics,855
2022,Large (250+),Utilities,190
2022,Large (250+),Wholesale Trade,400
2022,Medium-sized (50 to 249),Agriculture,445
2022,Medium-sized (50 to 249),Business Support Services,6745
2022,Medium-sized (50 to 249),Construction,2965
2022,Medium-sized (50 to 249),Hospitality,5635
2022,Medium-sized (50 to 249),IT & Computer Services,2075
2022,Medium-sized (50 to 249),Manufacturing,7555
2022,Medium-sized (50 to 249),Other Information Services,1160
2022,Medium-sized (50 to 249),Other Primary Industries,160
2022,Medium-sized (50 to 249),Other Services,3330
2022,Medium-sized (50 to 249),Professional Services,5590
2022,Medium-sized (50 to 249),Retail Trade,5770
2022,Medium-sized (50 to 249),Social care,7695
2022,Medium-sized (50 to 249),Transport & Logistics,4450
2022,Medium-sized (50 to 249),Utilities,1090
2022,Medium-sized (50 to 249),Wholesale Trade,4605
2022,Micro (0 to 9),Agriculture,132485
2022,Micro (0 to 9),Business Support Services,238255
2022,Micro (0 to 9),Construction,361515
2022,Micro (0 to 9),Hospitality,159415
2022,Micro (0 to 9),IT & Computer Services,134650
2022,Micro (0 to 9),Manufacturing,115145
2022,Micro (0 to 9),Other Information Services,52080
2022,Micro (0 to 9),Other Primary Industries,10235
2022,Micro (0 to 9),Other Services,185935
2022,Micro (0 to 9),Professional Services,413685
2022,Micro (0 to 9),Retail Trade,258620
2022,Micro (0 to 9),Social care,47200
2022,Micro (0 to 9),Transport & Logistics,135505
2022,Micro (0 to 9),Utilities,14885
2022,Micro (0 to 9),Wholesale Trade,183005
2022,Small (10 to 49),Agriculture,4155
2022,Small (10 to 49),Business Support Services,26230
2022,Small (10 to 49),Construction,21030
2022,Small (10 to 49),Hospitality,57925
2022,Small (10 to 49),IT & Computer Services,9115
2022,Small (10 to 49),Manufacturing,25275
2022,Small (10 to 49),Other Information Services,4795
2022,Small (10 to 49),Other Primary Industries,950
2022,Small (10 to 49),Other Services,20545
2022,Small (10 to 49),Professional Services,31695
2022,Small (10 to 49),Retail Trade,51440
2022,Small (10 to 49),Social care,33240
2022,Small (10 to 49),Transport & Logistics,13855
2022,Small (10 to 49),Utilities,3590
2022,Small (10 to 49),Wholesale Trade,31635
2022,Total,Agriculture,137165
2022,Total,Business Support Services,272675
2022,Total,Construction,385760
2022,Total,Hospitality,223225
2022,Total,IT & Computer Services,146170
2022,Total,Manufacturing,149330
2022,Total,Other Information Services,58310
2022,Total,Other Primary Industries,11375
2022,Total,Other Services,210125
2022,Total,Professional Services,451995
2022,Total,Retail Trade,317005
2022,Total,Social care,88490
2022,Total,Transport & Logistics,154665
2022,Total,Utilities,19755
2022,Total,Wholesale Trade,219640
2023,Large (250+),Agriculture,90
2023,Large (250+),Business Support Services,1475
2023,Large (250+),Construction,250
2023,Large (250+),Hospitality,265
2023,Large (250+),IT & Computer Services,370
2023,Large (250+),Manufacturing,1355
2023,Large (250+),Other Information Services,270
2023,Large (250+),Other Primary Industries,35
2023,Large (250+),Other Services,335
2023,Large (250+),Professional Services,1100
2023,Large (250+),Retail Trade,1110
2023,Large (250+),Social care,325
2023,Large (250+),Transport & Logistics,875
2023,Large (250+),Utilities,180
2023,Large (250+),Wholesale Trade,440
2023,Medium-sized (50 to 249),Agriculture,495
2023,Medium-sized (50 to 249),Business Support Services,6910
2023,Medium-sized (50 to 249),Construction,3020
2023,Medium-sized (50 to 249),Hospitality,5985
2023,Medium-sized (50 to 249),IT & Computer Services,2200
2023,Medium-sized (50 to 249),Manufacturing,7505
2023,Medium-sized (50 to 249),Other Information Services,1200
2023,Medium-sized (50 to 249),Other Primary Industries,165
2023,Medium-sized (50 to 249),Other Services,3465
2023,Medium-sized (50 to 249),Professional Services,5865
2023,Medium-sized (50 to 249),Retail Trade,5610
2023,Medium-sized (50 to 249),Social care,7535
2023,Medium-sized (50 to 249),Transport & Logistics,4565
2023,Medium-sized (50 to 249),Utilities,1095
2023,Medium-sized (50 to 249),Wholesale Trade,4665
2023,Micro (0 to 9),Agriculture,131270
2023,Micro (0 to 9),Business Support Services,234075
2023,Micro (0 to 9),Construction,363540
2023,Micro (0 to 9),Hospitality,155985
2023,Micro (0 to 9),IT & Computer Services,124365
2023,Micro (0 to 9),Manufacturing,112745
2023,Micro (0 to 9),Other Information Services,52755
2023,Micro (0 to 9),Other Primary Industries,10150
2023,Micro (0 to 9),Other Services,189140
2023,Micro (0 to 9),Professional Services,397095
2023,Micro (0 to 9),Retail Trade,248220
2023,Micro (0 to 9),Social care,47520
2023,Micro (0 to 9),Transport & Logistics,126135
2023,Micro (0 to 9),Utilities,14825
2023,Micro (0 to 9),Wholesale Trade,178685
2023,Small (10 to 49),Agriculture,4175
2023,Small (10 to 49),Business Support Services,27305
2023,Small (10 to 49),Construction,21400
2023,Small (10 to 49),Hospitality,60355
2023,Small (10 to 49),IT & Computer Services,9455
2023,Small (10 to 49),Manufacturing,25210
2023,Small (10 to 49),Other Information Services,4885
2023,Small (10 to 49),Other Primary Industries,975
2023,Small (10 to 49),Other Services,21085
2023,Small (10 to 49),Professional Services,32390
2023,Small (10 to 49),Retail Trade,51400
2023,Small (10 to 49),Social care,33995
2023,Small (10 to 49),Transport & Logistics,13625
2023,Small (10 to 49),Utilities,3520
2023,Small (10 to 49),Wholesale Trade,31600
2023,Total,Agriculture,136030
2023,Total,Business Support Services,269775
2023,Total,Construction,388210
2023,Total,Hospitality,222595
2023,Total,IT & Computer Services,136385
2023,Total,Manufacturing,146815
2023,Total,Other Information Services,59105
2023,Total,Other Primary Industries,11335
2023,Total,Other Services,214015
2023,Total,Professional Services,436450
2023,Total,Retail Trade,306340
2023,Total,Social care,89375
2023,Total,Transport & Logistics,145190
2023,Total,Utilities,19630
2023,Total,Wholesale Trade,215390
2024,Large (250+),Agriculture,90
2024,Large (250+),Business Support Services,1505
2024,Large (250+),Construction,250
2024,Large (250+),Hospitality,305
2024,Large (250+),IT & Computer Services,400
2024,Large (250+),Manufacturing,1370
2024,Large (250+),Other Information Services,265
2024,Large (250+),Other Primary Industries,35
2024,Large (250+),Other Services,330
2024,Large (250+),Professional Services,1185
2024,Large (250+),Retail Trade,1040
2024,Large (250+),Social care,340
2024,Large (250+),Transport & Logistics,945
2024,Large (250+),Utilities,195
2024,Large (250+),Wholesale Trade,440
2024,Medium-sized (50 to 249),Agriculture,505
2024,Medium-sized (50 to 249),Business Support Services,6840
2024,Medium-sized (50 to 249),Construction,3030
2024,Medium-sized (50 to 249),Hospitality,6325
2024,Medium-sized (50 to 249),IT & Computer Services,2225
2024,Medium-sized (50 to 249),Manufacturing,7475
2024,Medium-sized (50 to 249),Other Information Services,1240
2024,Medium-sized (50 to 249),Other Primary Industries,175
2024,Medium-sized (50 to 249),Other Services,3650
2024,Medium-sized (50 to 249),Professional Services,6170
2024,Medium-sized (50 to 249),Retail Trade,5540
2024,Medium-sized (50 to 249),Social care,7865
2024,Medium-sized (50 to 249),Transport & Logistics,4605
2024,Medium-sized (50 to 249),Utilities,1125
2024,Medium-sized (50 to 249),Wholesale Trade,4765
2024,Micro (0 to 9),Agriculture,130930
2024,Micro (0 to 9),Business Support Services,234500
2024,Micro (0 to 9),Construction,366945
2024,Micro (0 to 9),Hospitality,155320
2024,Micro (0 to 9),IT & Computer Services,122970
2024,Micro (0 to 9),Manufacturing,109750
2024,Micro (0 to 9),Other Information Services,54265
2024,Micro (0 to 9),Other Primary Industries,10125
2024,Micro (0 to 9),Other Services,192660
2024,Micro (0 to 9),Professional Services,399140
2024,Micro (0 to 9),Retail Trade,243970
2024,Micro (0 to 9),Social care,47770
2024,Micro (0 to 9),Transport & Logistics,115180
2024,Micro (0 to 9),Utilities,14875
2024,Micro (0 to 9),Wholesale Trade,177190
2024,Small (10 to 49),Agriculture,4290
2024,Small (10 to 49),Business Support Services,27010
2024,Small (10 to 49),Construction,20970
2024,Small (10 to 49),Hospitality,60180
2024,Small (10 to 49),IT & Computer Services,9455
2024,Small (10 to 49),Manufacturing,24590
2024,Small (10 to 49),Other Information Services,4900
2024,Small (10 to 49),Other Primary Industries,955
2024,Small (10 to 49),Other Services,21360
2024,Small (10 to 49),Professional Services,32720
2024,Small (10 to 49),Retail Trade,52050
2024,Small (10 to 49),Social care,34160
2024,Small (10 to 49),Transport & Logistics,12735
2024,Small (10 to 49),Utilities,3565
2024,Small (10 to 49),Wholesale Trade,31575
2024,Total,Agriculture,135815
2024,Total,Business Support Services,269865
2024,Total,Construction,391195
2024,Total,Hospitality,222135
2024,Total,IT & Computer Services,135050
2024,Total,Manufacturing,143190
2024,Total,Other Information Services,60670
2024,Total,Other Primary Industries,11290
2024,Total,Other Services,218025
2024,Total,Professional Services,439210
2024,Total,Retail Trade,302600
2024,Total,Social care,90135
2024,Total,Transport & Logistics,133455
2024,Total,Utilities,19765
2024,Total,Wholesale Trade,213970
2025,Large (250+),Agriculture,100
2025,Large (250+),Business Support Services,1365
2025,Large (250+),Construction,265
2025,Large (250+),Hospitality,335
2025,Large (250+),IT & Computer Services,420
2025,Large (250+),Manufacturing,1350
2025,Large (250+),Other Information Services,230
2025,Large (250+),Other Primary Industries,35
2025,Large (250+),Other Services,365
2025,Large (250+),Professional Services,1220
2025,Large (250+),Retail Trade,965
2025,Large (250+),Social care,360
2025,Large (250+),Transport & Logistics,980
2025,Large (250+),Utilities,210
2025,Large (250+),Wholesale Trade,440
2025,Medium-sized (50 to 249),Agriculture,510
2025,Medium-sized (50 to 249),Business Support Services,6770
2025,Medium-sized (50 to 249),Construction,3035
2025,Medium-sized (50 to 249),Hospitality,6400
2025,Medium-sized (50 to 249),IT & Computer Services,2255
2025,Medium-sized (50 to 249),Manufacturing,7365
2025,Medium-sized (50 to 249),Other Information Services,1180
2025,Medium-sized (50 to 249),Other Primary Industries,180
2025,Medium-sized (50 to 249),Other Services,3700
2025,Medium-sized (50 to 249),Professional Services,6280
2025,Medium-sized (50 to 249),Retail Trade,5560
2025,Medium-sized (50 to 249),Social care,8200
2025,Medium-sized (50 to 249),Transport & Logistics,4545
2025,Medium-sized (50 to 249),Utilities,1130
2025,Medium-sized (50 to 249),Wholesale Trade,4785
2025,Micro (0 to 9),Agriculture,130310
2025,Micro (0 to 9),Business Support Services,226490
2025,Micro (0 to 9),Construction,372250
2025,Micro (0 to 9),Hospitality,156780
2025,Micro (0 to 9),IT & Computer Services,121625
2025,Micro (0 to 9),Manufacturing,108325
2025,Micro (0 to 9),Other Information Services,55925
2025,Micro (0 to 9),Other Primary Industries,10130
2025,Micro (0 to 9),Other Services,196170
2025,Micro (0 to 9),Professional Services,400895
2025,Micro (0 to 9),Retail Trade,241050
2025,Micro (0 to 9),Social care,46925
2025,Micro (0 to 9),Transport & Logistics,112675
2025,Micro (0 to 9),Utilities,15875
2025,Micro (0 to 9),Wholesale Trade,177600
2025,Small (10 to 49),Agriculture,4385
2025,Small (10 to 49),Business Support Services,29265
2025,Small (10 to 49),Construction,20800
2025,Small (10 to 49),Hospitality,60320
2025,Small (10 to 49),IT & Computer Services,9405
2025,Small (10 to 49),Manufacturing,24090
2025,Small (10 to 49),Other Information Services,4735
2025,Small (10 to 49),Other Primary Industries,935
2025,Small (10 to 49),Other Services,21440
2025,Small (10 to 49),Professional Services,33175
2025,Small (10 to 49),Retail Trade,51985
2025,Small (10 to 49),Social care,34400
2025,Small (10 to 49),Transport & Logistics,12530
2025,Small (10 to 49),Utilities,3515
2025,Small (10 to 49),Wholesale Trade,31665
2025,Total,Agriculture,135305
2025,Total,Business Support Services,263895
2025,Total,Construction,396350
2025,Total,Hospitality,223830
2025,Total,IT & Computer Services,133700
2025,Total,Manufacturing,141090
2025,Total,Other Information Services,62065
2025,Total,Other Primary Industries,11280
2025,Total,Other Services,221670
2025,Total,Professional Services,441565
2025,Total,Retail Trade,299565
2025,Total,Social care,89885
2025,Total,Transport & Logistics,130730
2025,Total,Utilities,20730
2025,Total,Wholesale Trade,214490
